year,date,num_males,num_pairs,mean_temp,max_temp,min_temp,mean_rh,total_rainfall,prev_rainfall
2024,22-Jul,45,0,19.796,24.4,17.37,93.37,2.032,0.254
2025,4-Jun,67,5,18.618,22.72,16.59,95.01,15.748,1.524
2025,5-Jun,71,4,18.886,25.42,16.33,92.2,9.652,15.748
2025,6-Jun,65,3,19.925,25.84,17.37,92.68,0.508,9.652
2025,7-Jun,85,1,19.989,25.02,17.68,93.78,2.54,0.508
2025,8-Jun,81,5,18.784,23.9,15.88,95.23,24.388,2.54
2025,10-Jun,73,0,18.852,25.88,15.55,90.95,13.208,25.146
2025,11-Jun,94,2,18.45,23.54,16.79,95.8,21.844,13.208
2025,12-Jun,81,1,18.165,21.55,16.49,96.57,24.384,21.844
2025,13-Jun,72,6,17.918,22.13,16.19,95.94,39.37,24.384
2025,14-Jun,86,7,18.617,25.58,16.23,94.15,15.24,39.37
2025,15-Jun,79,5,19.398,25.45,16.62,92.83,21.59,15.24
2025,17-Jun,61,1,19.115,23.19,16.34,90.24,0,41.91
2025,19-Jun,39,0,20.02,25.47,17.85,92.79,0,0
2025,20-Jun,62,2,20.637,26.11,18.31,91.76,0.508,0
2025,21-Jun,90,12,18.616,21.76,17.32,97.07,24.894,0.508
2025,23-Jun,88,6,19.119,24.13,16.76,93.09,2.54,57.148
2025,26-Jun,93,4,18.109,22.24,16.28,94.76,14.478,77.474
2025,27-Jun,88,6,19.01,24.26,16.44,89.19,17.522,14.478
2025,28-Jun,57,2,19.27,22.9,17.14,91.51,4.572,17.522
2025,30-Jun,51,0,19.676,24.84,17.85,94.3,0.508,0
2025,1-Jul,81,3,19.816,24.26,15.27,93.08,1.524,0.508
2025,3-Jul,86,4,19.572,23.43,17,92.9,1.524,0
2025,4-Jul,106,3,18.825,25.57,15.96,93.85,2.54,1.524
2025,5-Jul,91,9,18.076,21.78,16.28,96.05,18.034,2.54
2025,7-Jul,90,2,19.14,26.3,16.66,93.29,9.652,1.016
2025,8-Jul,45,0,20.08,25.85,16.76,89.09,0,9.652
2025,10-Jul,87,8,18.789,24.79,16.23,93.78,5.334,41.656
2025,11-Jul,69,1,18.94,22.46,16.66,93.38,0,5.334
2025,12-Jul,36,1,18.961,22.52,15.84,94.7,0.254,0
2025,14-Jul,51,0,20.157,26.43,17.04,90.29,0.254,11.938
2025,15-Jul,22,0,20.636,27.4,16.33,84.42,0,0.254
2025,16-Jul,33,0,21.293,28.13,16.34,85.08,0,0
2025,18-Jul,87,5,21.082,26.93,18.01,89.67,10.922,0
2025,19-Jul,96,4,20.473,24.26,17.32,85.15,0.254,10.922
2025,21-Jul,53,0,20.435,26.53,17.62,90.03,0,1.778
2025,22-Jul,90,4,18.618,24.44,16.46,94.01,10.668,0
2025,23-Jul,77,3,19.448,24.69,16.66,90.57,0.508,10.668
2025,25-Jul,107,4,18.812,25.27,16.94,93.63,22.1,0
