year,date,num_males,num_pairs,mean_temp,mean_max_temp,mean_min_temp,mean_rh,total_rainfall,previous_rainfall
2019,8-Jun,15,1,20.226,20.405,20.058,90.39,9.398,18.284
2019,9-Jun,,1,19.728,19.865,19.595,93.16,5.334,9.398
2019,10-Jun,12,1,19.124,19.303,18.956,93.04,39.37,5.334
2019,11-Jun,18,0,19.783,19.974,19.591,90.54,13.462,39.37
2019,12-Jun,20,2,19.7,19.909,19.499,89.34,14.478,13.462
2019,13-Jun,22,3,19.924,20.107,19.754,89.18,41.404,14.478
2019,14-Jun,9,0,20.54,20.726,20.36,89.2,0,41.404
2019,17-Jun,13,0,21.844,22.066,21.63,88.23,0,0
2019,18-Jun,35,3,21.375,21.539,21.218,90.8,2.032,0
2019,19-Jun,32,4,20.594,20.797,20.413,91.45,29.714,2.032
2019,20-Jun,22,3,20.384,20.559,20.208,91.85,0.254,29.714
2019,21-Jun,,2,20.348,20.552,20.149,89.72,6.35,0.254
2019,24-Jun,26,2,19.976,20.142,19.815,91.96,0,6.604
2019,25-Jun,27,3,20.792,21.026,20.575,88.65,3.048,0
2019,26-Jun,25,0,20.664,20.848,20.486,87.9,0.254,3.048
2019,27-Jun,25,0,20.793,20.977,20.62,87.84,0,0.254
2019,28-Jun,43,2,20.394,20.596,20.198,89.13,14.736,0
2019,29-Jun,,11,19.823,20.017,19.642,91.5,5.334,14.736
2019,30-Jun,27,0,19.885,20.079,19.704,91.22,9.652,5.334
2019,1-Jul,29,2,20.094,20.319,19.878,91.2,5.842,9.652
2019,2-Jul,28,3,19.78,19.968,19.602,91.65,1.524,5.842
2019,3-Jul,14,0,20.375,20.538,20.221,90.63,0,1.524
2019,5-Jul,21,0,20.564,20.801,20.355,83.31,2.794,0
2019,7-Jul,44,4,19.901,20.053,19.758,91.72,1.524,0.254
2019,8-Jul,47,12,19.523,19.715,19.327,91.08,1.778,1.524
2019,9-Jul,44,7,19.038,19.186,18.889,92.24,12.192,1.778
2019,10-Jul,35,6,19.822,19.964,19.668,90.01,7.366,12.192
2019,11-Jul,31,1,20.006,20.21,19.804,91.63,17.018,7.366
2019,14-Jul,31,2,18.958,19.093,18.833,93.62,5.334,11.176
2019,15-Jul,41,4,19.629,19.783,19.473,88.71,0.254,5.334
2021,17-Jun,41,5,19.817,20.024,19.622,91.44,4.572,5.334
2021,18-Jun,29,4,18.785,18.984,18.599,91.63,36.828,4.572
2021,19-Jun,21,1,19.979,20.233,19.74,89.44,11.176,36.828
2021,20-Jun,28,4,19.17,19.376,18.986,91.64,24.384,11.176
2021,21-Jun,31,3,18.86,19.036,18.681,84.64,2.286,24.384
2021,22-Jun,28,0,19.55,19.77,19.33,88.28,9.398,2.286
2021,23-Jun,23,,19.36,19.537,19.186,92.89,24.64,9.398
2021,24-Jun,18,1,19.956,20.191,19.729,90.86,0,24.64
2021,26-Jun,29,2,18.661,18.837,18.498,91.19,0.762,1.524
2021,27-Jun,30,0,19.594,19.875,19.328,85.67,5.842,0.762
2021,28-Jun,18,0,20.328,20.546,20.113,88.51,0,5.842
2021,29-Jun,22,0,20.607,20.841,20.395,90.2,0.762,0
2021,30-Jun,,7,18.82,19.035,18.621,90.05,13.716,0.762
2021,1-Jul,26,0,19.601,19.766,19.444,86.01,0,13.716
2021,2-Jul,43,3,19.109,19.249,18.97,92.97,3.048,0
2021,3-Jul,46,6,18.724,18.871,18.575,93.89,32.508,3.048
2021,4-Jul,25,4,19.499,19.714,19.283,88.82,10.668,32.508
2021,5-Jul,38,1,20.064,20.319,19.852,89.58,0.762,10.668
2021,6-Jul,17,0,20.302,20.461,20.148,91.15,0,0.762
2021,7-Jul,27,,20.298,20.458,20.14,91.79,0.254,0
2021,8-Jul,31,4,20.28,20.461,20.109,92.25,1.27,0.254
2021,9-Jul,26,2,19.999,20.145,19.853,90.41,0.508,1.27
2021,10-Jul,41,1,18.946,19.095,18.8,91.51,1.27,0.508
2021,11-Jul,44,,19.28,19.464,19.112,92.27,63.75,1.27
2021,16-Jul,30,,20.471,20.664,20.296,89.31,0.508,4.318
2021,17-Jul,44,,19.232,19.371,19.099,94.76,3.81,0.508
2021,22-Jul,,9,19.945,20.128,19.758,92.86,22.606,5.588
2022,22-Jun,30,3,18.732,18.9,18.583,94.45,4.572,23.368
2022,23-Jun,40,7,18.116,18.282,17.95,95.57,91.692,4.572
2022,25-Jun,31,3,18.816,18.966,18.669,92.64,16.002,26.162
2022,26-Jun,38,6,18.464,18.593,18.349,95.78,25.146,16.002
2022,27-Jun,51,4,18.19,18.341,18.038,92.53,16.002,25.146
2022,4-Jul,37,0,19.256,19.397,19.114,92.8,0,17.018
2022,5-Jul,24,0,19.787,19.949,19.636,91.67,0.254,0
2022,6-Jul,41,4,18.949,19.152,18.766,94.03,36.32,0.254
2022,8-Jul,29,0,20.057,20.237,19.895,92.76,0.254,0
2022,9-Jul,59,4,18.304,18.49,18.116,94.27,33.528,0.254
2022,11-Jul,38,5,19.052,19.223,18.888,92.58,37.592,35.558
2022,12-Jul,38,2,18.716,18.838,18.6,95.53,14.986,37.592
2022,13-Jul,47,7,18.452,18.611,18.302,94.98,27.94,14.986
2022,14-Jul,32,2,19.385,19.549,19.234,92.05,28.702,27.94
2022,15-Jul,48,3,19.53,19.704,19.364,93.68,0.254,28.702
2022,16-Jul,35,0,19.858,20.101,19.63,91.13,0,0.254
2022,18-Jul,63,2,19.374,19.541,19.219,95.11,17.018,0.508
2022,20-Jul,38,1,19.745,19.907,19.586,94.12,7.874,1.27
2024,13-Jun,52,1,19.47,19.64,19.302,94.64,4.572,13.208
2024,14-Jun,55,,18.362,18.487,18.232,97.29,36.576,4.572
2024,15-Jun,54,,17.628,17.79,17.49,97.39,19.05,36.576
2024,18-Jun,65,3,18.595,18.76,18.451,95.95,30.984,0.254
2024,20-Jun,50,1,19.205,19.381,19.037,90.81,0,0.254
2024,22-Jun,75,5,19.769,19.918,19.62,93.43,2.54,10.414
2024,25-Jun,74,5,18.328,18.482,18.19,96.23,25.91,0.508
2024,27-Jun,,6,17.784,17.903,17.68,96.66,28.194,70.614
2024,28-Jun,59,2,18.489,18.675,18.304,93.66,3.81,28.194
2024,30-Jun,54,1,19.633,19.816,19.447,93.34,5.334,8.636
2024,2-Jul,67,4,18.611,18.792,18.45,95.77,8.128,25.148
2024,4-Jul,61,3,19.476,19.676,19.258,92.29,6.858,20.574
2024,6-Jul,49,2,18.728,18.895,18.579,93.33,2.794,42.674
2024,8-Jul,25,0,20.496,20.694,20.308,93.5,0.254,0.508
2024,10-Jul,45,7,19.807,20.017,19.59,91.56,6.35,1.016
2024,12-Jul,18,0,20.25,20.489,20.031,89.1,0,8.636
2024,15-Jul,81,0,20.256,20.448,20.077,93.54,18.542,0.762
2024,16-Jul,30,0,20.951,21.151,20.757,89.96,1.778,18.542
2024,17-Jul,69,5,19.311,19.507,19.128,93.62,32.508,1.778
2024,18-Jul,72,4,18.624,18.775,18.468,95.32,20.574,32.508
2024,20-Jul,56,0,19.802,19.993,19.619,93.71,1.016,9.652
2024,22-Jul,45,0,19.796,19.974,19.618,93.37,2.032,0.254
2025,4-Jun,67,5,18.618,18.774,18.469,95.01,15.748,1.524
2025,5-Jun,71,4,18.886,19.066,18.71,92.2,9.652,15.748
2025,6-Jun,65,3,19.925,20.107,19.746,92.68,0.508,9.652
2025,7-Jun,85,1,19.989,20.159,19.83,93.78,2.54,0.508
2025,8-Jun,81,5,18.784,18.987,18.611,95.23,24.388,2.54
2025,10-Jun,73,0,18.852,19.025,18.684,90.95,13.208,25.146
2025,11-Jun,94,2,18.45,18.611,18.302,95.8,21.844,13.208
2025,12-Jun,81,1,18.165,18.305,18.033,96.57,24.384,21.844
2025,13-Jun,72,6,17.918,18.073,17.773,95.94,39.37,24.384
2025,14-Jun,86,7,18.617,18.799,18.432,94.15,15.24,39.37
2025,15-Jun,79,5,19.398,19.573,19.22,92.83,21.59,15.24
2025,17-Jun,61,1,19.115,19.285,18.947,90.24,0,41.91
2025,19-Jun,39,0,20.02,20.204,19.835,92.79,0,0
2025,20-Jun,62,2,20.637,20.873,20.42,91.76,0.508,0
2025,21-Jun,90,12,18.616,18.731,18.494,97.07,24.894,0.508
2025,23-Jun,88,6,19.119,19.285,18.96,93.09,2.54,57.148
2025,26-Jun,93,4,18.109,18.277,17.945,94.76,14.478,77.474
2025,27-Jun,88,6,19.01,19.265,18.761,89.19,17.522,14.478
2025,28-Jun,57,2,19.27,19.455,19.088,91.51,4.572,17.522
2025,30-Jun,51,0,19.676,19.828,19.521,94.3,0.508,0
2025,1-Jul,81,3,19.816,20.034,19.626,93.08,1.524,0.508
2025,3-Jul,86,4,19.572,19.726,19.422,92.9,1.524,0
2025,4-Jul,106,3,18.825,19.027,18.623,93.85,2.54,1.524
2025,5-Jul,91,9,18.076,18.226,17.939,96.05,18.034,2.54
2025,7-Jul,90,2,19.14,19.323,18.95,93.29,9.652,1.016
2025,8-Jul,45,0,20.08,20.355,19.825,89.09,0,9.652
2025,10-Jul,87,8,18.789,18.984,18.615,93.78,5.334,41.656
2025,11-Jul,69,1,18.94,19.114,18.78,93.38,0,5.334
2025,12-Jul,36,1,18.961,19.138,18.792,94.7,0.254,0
2025,14-Jul,51,0,20.157,20.353,19.948,90.29,0.254,11.938
2025,15-Jul,22,0,20.636,20.878,20.403,84.42,0,0.254
2025,16-Jul,33,0,21.293,21.556,21.04,85.08,0,0
2025,18-Jul,87,5,21.082,21.334,20.832,89.67,10.922,0
2025,19-Jul,96,4,20.473,20.669,20.272,85.15,0.254,10.922
2025,21-Jul,53,0,20.435,20.634,20.241,90.03,0,1.778
2025,22-Jul,90,4,18.618,18.791,18.45,94.01,10.668,0
2025,23-Jul,77,3,19.448,19.648,19.252,90.57,0.508,10.668
2025,25-Jul,107,4,18.812,19.006,18.625,93.63,22.1,0
